Username,Review Number,Title,Text,Date,Rating,Rating,Rating,Rating,Rating
Mon-coach i,37 reviews,We had so much fun,"""We had so much fun. It was my first time going to a club with my son. The drinks were perfect, and the music and karaoke were great too.""",Date of visit: June 2022,5,,,,
GoldstarDancer,31 reviews,Shocking Overcrowding,"On our trip to Rome we spent about 1/2 hrs in Scholars bar on St Patrick's Night. 
The Traditional Irish group didn't know the lyrics to the songs they were singing. 
The bar was way overcrowded and it was more like Hill 16 on All...Ireland Finals day.
If there had of been a fire nobody would have got out without being trampled on or seriously injured. 
It was an experience of St Patrick's day to forget.
Price of drinks are what you would expect for Rome.
Would we return probably not if it's more about grabbing the euros than promoting an Irish traditional pub.
This is a true account of our visitMore",Date of visit: March 2023,,,,2,
theokietravelbird,47 reviews,Best Pub!,We went there for St. Patrick's Day and had a wonderful time. The music was amazing and the bar staff was so kind and attentive. It was clean and had a great atmosphere. It was the perfect bit of Ireland in the middle of Rome!,Date of visit: March 2023,5,,,,
AndreaE2327,1 review,Very rude security staff,"They let enter first just the girls they like, while me and my friends were waiting for more than 2 hours outside. Moreover, if you ask for explanations, the dark-skinned bodyguard treats you badly, answering you with bad words and mocking you.
It’s a pity...because the atmosphere inside would be a 5/5.
I saw many people leaving before entering, because of this absurd situation with the entrance policy.
If I was the owner, I would be very worried about how my guests are treated by that rude employee.
I’m sure I’m not the only one who next time will choose another Irish pub in Rome; more than 30 people waiting in line with me had the same thought!More",Date of visit: March 2023,,,,,1
R7169YHdarrenm,1 review,Overpriced and terrible food,"For the price they charge the food is terrible it's not hard to make a decent breakfast for 18 euros, and nothing with the pulled pork burger, no salad or chips for 13 euros, I am happy to pay top prices but not for this...standard,More",Date of visit: March 2023,,,,,1
W6677MXterryc,3 reviews,Poor bar staff,"Great music  and atmosphere  bar staff  very  inadequate  on changing  a keg  pints  after  pints  poured  down  sink lots of half filled  pints sitting  behind  counter  getting  warm  and just  being  topped  up  and served  , staff need better  training",Date of visit: March 2023,,,,2,
X192,2 reviews,Bar staff,"Absolutely shocking service , no communication skills, no eye contact at the bar , half a keg poured down the drain as they couldn't pour a decent one , avoid this over priced place , bar staff need training asap.",Date of visit: March 2023,,,,,1
JoPaine,9 reviews,Great for watching F1,"In Rome for the weekend and hubby wanted to watch opening race of Formula 1.   Bar was very busy but quick to serve customers.  Good range of beers.  
Bar has 2 rooms so football was in one half and F1 in the other.  Get there...a bit early to get a seatMore",Date of visit: March 2023,,4,,,
marble4,56 reviews,Avoid. Avoid. Avoid.,"Avoid this place like the plague if you want decent food. Possibly the worst food I have ever witnessed and the service is not much better.
6 of us squeezed onto a table that would barely hold 4 people. 2 of the chairs were broken,...the others were filthy. The darkness of the venue hides the dreadful state of food on offer. 2 dishes turned up partially frozen and another looked like it had been dropped on the floor, trodden on and then put back on the plate. The ‘food’ is quite clearly frozen food from a local cheap supermarket. Our suspicions were raised when we were asked to pay for the ‘food’ beforehand. Our mains turned up with the starters and on complaining, we were told by the abrupt and rude staff to eat the food or the dishes would be thrown away if returned to the kitchen and that they had taken our money anyway and didn’t care if we ate the ‘food’ or not. I didn’t see any satisfied diners and witnessed so much uneaten food. A staff member told me the manager was to blame but didn’t care.
If you want a drink, be patient and it ain’t cheap. Lazy, disinterested staff everywhere. Even the doorman is miserable. An attempted novelty venue, but falling way below par.
You’d be better off getting a take away from McDonald’s, a few cans from the off licence and sitting outside in the rain. It’s dreadful. Avoid.More",Date of visit: March 2023,,,,,1
Escape14824395649,6 reviews,Avoid,Pint of smithwicks tasted awful and was clearly from an old keg. Not one to complain so thought I’d have a Guinness. Girl at the bar didn’t have clue how to pour it,Date of visit: March 2023,,,,,1
mcgStaffs,19 reviews,Disappointed,"The place has a wonderful Irish pub feel, and can imagine when it is full there would be some atmosphere.  We popped in for a drink and food at the end of a long day of sightseeing.
We had a pint of lager €7 and...a double gin and tonic €17. The pint price is the going rate for Rome, but the gin was a little overpriced. 
Gin was what you would expect, the lager on the other hand was fowl.  It tasted and smelt like sweaty feet. 
We decided not to try the food and left with the lager undrunk.More",Date of visit: March 2023,,,,2,
Marie-Claude M,1 review,Worst place so far,Worst Service ever!   We were at least 3 tables waiting to be served and no one came.  We had to go directly to the bar and even then they have been able to forget my order so all the folks at our table had their...meal except me….. Poor service and nothing was offert to repair their mistake….. worst place we have been so far in Rome. Dont go thereMore,Date of visit: March 2023,,,,,1
Excursion08422424431,2 reviews,Best bar in Rome ??,"If you like good food and drink at a reasonable price and a great atmosphere this is well worth a visit. Great staff, ( very friendly ) . An excellent place to watch sport on the many screens or tv's. I love the place and...will be back .
Word of warning though, it does get very busy !More",Date of visit: February 2023,5,,,,
lynndds,650 reviews,Guinness,We stopped here after looking at Doris Pamphlia Palazzo.  I needed a Guinness & my wife got a glass of wine.  We shared a plate of nachos.,Date of visit: November 2022,,4,,,
Andrew E,1 review,Quality time,"James and his team are just quality. We had such a mega time in there, food was spot on aswell. All the sport covered and music! Whats not to love",Date of visit: February 2023,5,,,,
Jeffs4u,156 reviews,Nice atmosphere. Lovely staff,Nice visit and nice atmosphere. Very attentive staff and good food choice. Visited on our first night in Rome. My husband had the Irish Stew which he loved. I had a jacket potato which was as big as a babies head. It was filled with...More,Date of visit: February 2023,,4,,,
kwin1968,2 reviews,Rome with cousins,The best place to drink and meet other Americans!! We did a tipsy tour and landed here. Great drinks and great music.,Date of visit: February 2023,5,,,,
MartynHadADream,7 reviews,Perfect for watching sport on multiple big screens,"Went here last weekend to watch Everton vs. Arsenal after being let down by another bar down the road, who even though I had a booking, told me they’d only be able to show me the first half because they’d have to put the opening...More",Date of visit: February 2023,5,,,,
202franl,41 reviews,Highly recommend a visit,Visited here whilst in Rome very friendly staff quick service pub food absolutely lovely plenty to choose on menu great prices and good portion size I would recommend a visit here,Date of visit: February 2023,5,,,,
orlam884,5 reviews,Better food from a roadside bin,"I genuinely  would never give a review of a restaurant ever in my life but this was so impossibly bad that I couldn’t, not, leave a review. I got the ‘creamy chicken korma’ and what was served was nothing less than what you would find...More",Date of visit: January 2023,,,,,1
SHfly747,38 reviews,Horrible,"Awful place. Filthy toilets, and I mean filthy. Guiness pie with veg ordered was just a beef stew with a dollop of mash potato on the top and that alone was €18. Avoid this place.",Date of visit: January 2023,,,,,1
BiancaZen11,6 reviews,Irish vibes in the center of Rome,"Quick stop in the afternoon for a bite and a drink. Loved the atmosphere and design of the place, staff was friendly and welcoming. Standard, calorie-dense pub food which we enjoyed nonetheless.",Date of visit: January 2023,,4,,,
Curiosity491775,1 review,Good atmosphere Irish pub with awful service,"The atmosphere and interior was very good and we enjoyed the place until we went outside to smoke leaving a fool glass of beer on the table, when we came back the glass was gone and the waitress never admitted they made a mistake and...More",Date of visit: January 2023,,,,,1
B9395VIjacquelinek,2 reviews,Repeat visit extremely disappointing,"My daughter and I visited Scholar's Pub on our first visit to Rome. Recently, on December 6, 2022, I returned there with my husband. The food was good, as before, but that's where the memorable experience went awry. 
My husband ordered a Guinness for 7...More",Date of visit: December 2022,,,,,1
overseaslass,22 reviews,Extortionate,"We called in and had 2 Gin and Tonics. The price was €28 for those 2 drinks!! 
To put that into context, we had a drink earlier in a lovely place just one street away from the Vatican and for 2 Prosecco and a bottle...More",Date of visit: December 2022,,,,,1
Somebird,38 reviews,Excellent for Nachos and a pint!,"My dad and I called in for a quick pint and to rest our weary feet.  What an excellent find - superb tasty and plentiful nachos (we were stuffed after sharing a dish) €12.50. Good value I feel. However, €7 for a pint of Moretti...More",Date of visit: December 2022,5,,,,
briank482,614 reviews,Quick pint,Popped in here for one drink on our way back to our hotel from the Vatican . It is a nice large pub and had a decent atmosphere . Service was friendly and efficient . Didn’t stay long enough to eat so can’t comment on...More,Date of visit: November 2022,,4,,,
Linda C,8 reviews,Pints of beer were flat. Musician was brutal,"Ordered a pint of Kilkenny beer it was flat.
 people in my company had pints of magners cider and Heineken, guinness and the drinks were flat. Pint of Kilkenny was €7.50 
The atmosphere was good for the world cup games. They had a musician on...More",Date of visit: November 2022,,,,,1
Arubhardwaj,4 reviews,Witnessed Racism by the Bar,"Witnessed discrimination this bar by the staff!! I am living in Rome from over an year, and never had a bad experience. One could expect that bad experience can be situational but racism is never a situational thing, it runs in the core of heart...More",Date of visit: November 2022,,,,,1
Stephen T,80 reviews,English Football Pub,Visited a couple of times to watch the English football. Plenty of screens and staff helpful in getting the game of your choice on a screen comfortable to view from where you’re sitting. Good selection of beers.,Date of visit: November 2022,,4,,,
KatieIrene2022,2 reviews,Disappointed,"Hubbie loves pubs. Received a couple recommendations for this place while traveling in Italy. Visited on a Sunday afternoon. Beer and cider tasted like the bottom of the keg. Fish and chips were awful. Lesson learned. As they say, 'When in Rome......'",Date of visit: October 2022,,,,2,
Caroline A,10 reviews,Avoid at all cost,The food here is really poor quality. Had a smoked salmon and cream cheese wrap that was literally full of lettuce and very little else and in night 2 had bangers and mash.The mash was disgusting.Both dishes were €12.50.The alcohol was so over priced also.G&T...More,Date of visit: September 2022,,,,,1
Catarina S,37 reviews,nice spot to watch F1 in rome,"big space, nicely decorated. since it is big it gets noisy when crowded, but that's part of the energy of the place.",Date of visit: October 2022,5,,,,
alejandrofX4751UP,1 review,Bad service…,I came here to watch the Formula 1 with my friends. First I asked like three people for the menu and they just ignored me. Then I went to the bar to ask for my food and they also ignored me. After I ordered they...More,Date of visit: October 2022,,,,,1
melanietB9530JB,1 review,False advertisement,Pilsner urquell is well advertised but not on tap as promised! We wound up having to drink German beer which wasn’t as good.,Date of visit: September 2022,,,,,1
Tashacece,32 reviews,Plays the Premier League,"Went on a Sunday afternoon to watch the premier league, great spot if you don’t want to miss your team whilst you’re away. All bar staff are friendly and helpful.",Date of visit: September 2022,5,,,,
webb,628 reviews,Great food and fun!,Had a great evening here enjoying pints and highballs and some good pub fare food as well. Lots of sports to watch on multiple screens and good DJ music playing as well. Our waitress was very helpful for tips and we wish we were around...More,Date of visit: September 2022,5,,,,
Laurensworld,122 reviews,"Too busy, they squeeze too many people in to a small space and over priced","Hmm. I hate to do this as I love an Irish bar, especially out of UK. However; this was approx £6/€7 pp for a pint of bira moretti each and it was honesty the flattest poorest pint I’ve ever had. It’s crammed and usually busy,...More",Date of visit: September 2022,,,3,,
aislingrosefitz,1 review,Absolutely fantastic spot for a drink,"Myself and my boyfriend (from Dublin) visited Scholars Lounge when we visited Rome and were delighted with the authenticity of the place. A proper pub with proper Irish staff, and was amazing to hear some Irish accents from the staff. Food was lovely and pints...More",Date of visit: September 2022,5,,,,
ian f,3 reviews,Worst pint of plain ever,"Worst pint of Guinness I've ever had , it died after about 3 minutes , would  avoid if you're Irish. Bar staff too slow and music was meh at best. There are better pubs around Rome",Date of visit: September 2022,,,,,1
Ktmo42,26 reviews,Amazing go to pub!,"Scholars was our go to lunch spot in Rome. They had a variety of pub meals as well as live sport, music and karaoke. All staff were friendly and really attentive. If you ask they will be able to put what you want to watch...More",Date of visit: August 2022,5,,,,
merykij,1 review,the selection of the bodyguard very rationale,"is the second time that my black friend does not enter the premises without having done anything, just being black",Date of visit: August 2022,,,,,1
554damianm,6 reviews,Needs an upgrade,This place needs gutted out. It’s pure manky the seats need to be thrown in the bin. We were afraid to sit on them. Drank 1 pint of lifeless Morretti and out the door.,Date of visit: August 2022,,,,,1
V7244CApeterc,1 review,"Oh, my!","From a food and service point of view, this place has really deteriorated. We have been coming here for 6 years now, but yesterday’s meal was quite the shoddy affair. We were a party of 7. The waitress placed three tables together to accommodate us,...More",Date of visit: August 2022,,,,2,
gemmaspalding,44 reviews,Very Good for UK Tourists,"This is a lovely place for UK tourists!  Similar to a Wetherspoons but much nicer.  They play old school hits that are very well known in the UK (Boomtown Rats, The Proclaimers, Bon Jovi, Don McLean etc.)
 
They offer a French Martini, which I’d never...More",Date of visit: August 2022,,4,,,
